j   k   a   b   <Q^{a,b}_{j,k}>                 
2   6   2   2         0.0000000000000000      0.0000000000000000
2   7   0   0         0.0481125224333333      0.0000000000000000
2   7   0   1         0.0000000000000000      0.0000000000000000
2   7   0   2         0.0000000000000000      0.0000000000000000
2   7   1   1         0.0481125224333333      0.0000000000000000
2   7   1   2         0.0000000000000000      0.0000000000000000
2   7   2   2        -0.0962250448666667      0.0000000000000000
3   4   0   0         0.0000000000000000      0.0000000000000000
3   4   0   1         0.0000000000000000      0.0000000000000000
3   4   0   2         0.0000000000000000      0.0000000000000000
3   4   1   1         0.0000000000000000      0.0000000000000000
3   4   1   2         0.0000000000000000      0.0000000000000000
3   4   2   2         0.0000000000000000      0.0000000000000000
3   5   0   0         0.0000000000000000      0.0000000000000000
3   5   0   1         0.0000000000000000      0.0000000000000000
3   5   0   2         0.0000000000000000      0.0000000000000000
3   5   1   1         0.0000000000000000      0.0000000000000000
3   5   1   2         0.0000000000000000      0.0000000000000000
3   5   2   2         0.0000000000000000      0.0000000000000000
3   6   0   0         0.0481125224333333      0.0000000000000000
3   6   0   1         0.0000000000000000      0.0000000000000000
3   6   0   2         0.0000000000000000      0.0000000000000000
3   6   1   1         0.0481125224333333      0.0000000000000000
3   6   1   2         0.0000000000000000      0.0000000000000000
3   6   2   2        -0.0962250448666667      0.0000000000000000
3   7   0   0         0.0000000000000000      0.0000000000000000
3   7   0   1         0.0000000000000000      0.0000000000000000
3   7   0   2         0.0000000000000000      0.0000000000000000
3   7   1   1         0.0000000000000000      0.0000000000000000
3   7   1   2         0.0000000000000000      0.0000000000000000
3   7   2   2         0.0000000000000000      0.0000000000000000
4   5   0   0        -0.0962250448666667      0.0000000000000000
4   5   0   1         0.0000000000000000      0.0000000000000000
4   5   0   2         0.0000000000000000      0.0000000000000000
4   5   1   1         0.0481125224333333      0.0000000000000000
4   5   1   2         0.0000000000000000      0.0000000000000000
4   5   2   2         0.0481125224333333      0.0000000000000000
4   6   0   0         0.0000000000000000      0.0000000000000000
4   6   0   1         0.0000000000000000      0.0000000000000000
4   6   0   2         0.0000000000000000      0.0000000000000000
4   6   1   1         0.0000000000000000      0.0000000000000000
4   6   1   2         0.0000000000000000      0.0000000000000000
4   6   2   2         0.0000000000000000      0.0000000000000000
4   7   0   0         0.0481125224333333      0.0000000000000000
4   7   0   1         0.0000000000000000      0.0000000000000000
4   7   0   2         0.0000000000000000      0.0000000000000000
4   7   1   1        -0.0962250448666667      0.0000000000000000
4   7   1   2         0.0000000000000000      0.0000000000000000
4   7   2   2         0.0481125224333333      0.0000000000000000
5   6   0   0         0.0481125224333333      0.0000000000000000
5   6   0   1         0.0000000000000000      0.0000000000000000
5   6   0   2         0.0000000000000000      0.0000000000000000
5   6   1   1        -0.0962250448666667      0.0000000000000000
5   6   1   2         0.0000000000000000      0.0000000000000000
5   6   2   2         0.0481125224333333      0.0000000000000000
5   7   0   0         0.0000000000000000      0.0000000000000000
5   7   0   1         0.0000000000000000      0.0000000000000000
5   7   0   2         0.0000000000000000      0.0000000000000000
5   7   1   1         0.0000000000000000      0.0000000000000000
5   7   1   2         0.0000000000000000      0.0000000000000000
5   7   2   2         0.0000000000000000      0.0000000000000000
6   7   0   0        -0.0962250448666667      0.0000000000000000
6   7   0   1         0.0000000000000000      0.0000000000000000
6   7   0   2         0.0000000000000000      0.0000000000000000
6   7   1   1         0.0481125224333333      0.0000000000000000
6   7   1   2         0.0000000000000000      0.0000000000000000
6   7   2   2         0.0481125224333333      0.0000000000000000
